  6,222,349,488  99% - ...
  6,222,349,488  99%  - call-interactively
  6,222,349,488  99%   - apply
  6,222,349,488  99%    - call-interactively@ido-cr+-record-current-command
  6,222,349,488  99%     - #<primitive-function call-interactively>
  6,222,349,488  99%      - funcall-interactively
  6,222,349,488  99%       - smex
  6,222,349,488  99%        - smex-read-and-run
  6,222,349,488  99%         - execute-extended-command
  6,222,349,488  99%          - command-execute
  6,222,349,488  99%           - call-interactively
  6,222,349,488  99%            - apply
  6,222,349,488  99%             - call-interactively@ido-cr+-record-current-command
  6,222,349,488  99%              - #<primitive-function call-interactively>
  6,222,349,488  99%               - funcall-interactively
  6,222,349,488  99%                - pel-profile
  6,220,708,868  99%                 - call-interactively
  6,220,708,868  99%                  - apply
  6,220,708,868  99%                   - call-interactively@ido-cr+-record-current-command
  6,220,708,868  99%                    - #<primitive-function call-interactively>
  6,220,708,868  99%                     - funcall-interactively
  6,220,708,852  99%                      - seed7-complete-statement-or-indent
  6,220,708,852  99%                       - seed7-indent-region
  6,220,708,852  99%                        - seed7--indent-one-line
  6,214,647,028  99%                         - seed7-calc-indent
  3,772,104,872  60%                          - seed7-line-is-defun-end
  3,677,067,090  59%                           - seed7-end-of-defun
  3,632,073,759  58%                            - seed7-top-block-name
  3,624,943,114  58%                             - seed7--to-top
  3,613,616,362  58%                              - seed7-re-search-backward
  2,775,400,346  44%                               - run-with-timer
  2,775,400,346  44%                                - run-at-time
  1,361,857,304  21%                                 - timer-activate
  1,361,857,304  21%                                  - timer--activate
  1,361,693,344  21%                                   - timer--time-less-p
      3,476,116   0%                                      timer--time
    736,713,672  11%                                   timer-relative-time
    519,154,278   8%                                 - timer-set-time
    519,154,168   8%                                    timer--time-setter
    157,675,056   2%                                   timer-create
             36   0%                                   timer-set-function
    555,374,936   8%                               - seed7-inside-string-p
     69,268,056   1%                                - syntax-ppss
     66,395,168   1%                                   make-closure
      2,872,888   0%                                 - parse-partial-sexp
      1,462,832   0%                                  - internal--syntax-propertize
      1,040,144   0%                                   - syntax-propertize
        505,568   0%                                      seed7-mode-syntax-propertize
    172,134,411   2%                               - seed7-inside-comment-p
     67,349,227   1%                                - syntax-ppss
     63,345,184   1%                                   make-closure
      2,495,174   0%                                 - syntax-propertize
      1,964,742   0%                                  - seed7-mode-syntax-propertize
             14   0%                                     #<byte-code-function 9FF>
      1,246,096   0%                                   parse-partial-sexp
            437   0%                                   #<byte-code-function A31>
    110,574,513   1%                                 make-closure
            988   0%                                 re-search-backward
     10,310,384   0%                              - run-with-timer
     10,310,384   0%                               - run-at-time
      5,131,648   0%                                - timer-activate
      5,131,648   0%                                 - timer--activate
      5,131,648   0%                                    timer--time-less-p
      2,780,384   0%                                  timer-relative-time
      1,843,056   0%                                - timer-set-time
      1,843,056   0%                                   timer--time-setter
        555,296   0%                                  timer-create
        360,528   0%                                make-closure
      6,852,997   0%                             - seed7--block-name
      5,624,053   0%                              - seed7-re-search-forward
      3,696,448   0%                               - seed7-inside-string-p
        277,648   0%                                - syntax-ppss
        277,648   0%                                   make-closure
      1,927,605   0%                               - seed7-inside-comment-p
      1,811,573   0%                                - syntax-ppss
      1,074,661   0%                                 - syntax-propertize
        846,741   0%                                    seed7-mode-syntax-propertize
        671,328   0%                                   make-closure
         65,584   0%                                   parse-partial-sexp
        497,704   0%                                match-string
     21,931,977   0%                            - seed7-re-search-forward
     14,672,721   0%                             - seed7-inside-comment-p
     14,150,577   0%                              - syntax-ppss
     13,682,305   0%                               - syntax-propertize
     12,915,665   0%                                  seed7-mode-syntax-propertize
        468,272   0%                                 make-closure
      2,324,784   0%                             - seed7-inside-string-p
        401,968   0%                              - syntax-ppss
        401,968   0%                                 make-closure
     14,939,480   0%                            - seed7-re-search-backward
     10,352,432   0%                             - run-with-timer
     10,352,432   0%                              - run-at-time
      5,082,528   0%                               - timer-activate
      5,082,528   0%                                - timer--activate
      5,082,528   0%                                   timer--time-less-p
      2,780,384   0%                                 timer-relative-time
      1,884,496   0%                               - timer-set-time
      1,884,496   0%                                  timer--time-setter
        605,024   0%                                 timer-create
      3,472,672   0%                             - seed7-inside-string-p
        215,488   0%                              - syntax-ppss
        215,488   0%                                 make-closure
        625,384   0%                             - seed7-inside-comment-p
        289,720   0%                              - syntax-ppss
        256,928   0%                                 make-closure
         32,792   0%                                 parse-partial-sexp
        488,992   0%                               make-closure
      1,130,552   0%                              match-string
        208,744   0%                              match-string-no-properties
     60,157,925   0%                           - seed7-beg-of-defun
     16,934,420   0%                            - seed7-top-block-name
      8,829,461   0%                             - seed7--to-top
      6,031,061   0%                              - seed7-re-search-backward
      2,630,560   0%                               - run-with-timer
      2,630,560   0%                                - run-at-time
      1,301,472   0%                                 - timer-activate
      1,301,472   0%                                  - timer--activate
      1,301,472   0%                                     timer--time-less-p
        702,848   0%                                   timer-relative-time
        456,336   0%                                 - timer-set-time
        456,336   0%                                    timer--time-setter
        169,904   0%                                   timer-create
      2,575,845   0%                                 re-search-backward
        468,272   0%                               - seed7-inside-string-p
         78,736   0%                                - syntax-ppss
         78,736   0%                                   make-closure
        219,632   0%                               - seed7-inside-comment-p
        120,176   0%                                - syntax-ppss
        120,176   0%                                   make-closure
        136,752   0%                                 make-closure
      2,690,656   0%                              - run-with-timer
      2,690,656   0%                               - run-at-time
      1,340,848   0%                                - timer-activate
      1,340,848   0%                                 - timer--activate
      1,340,848   0%                                    timer--time-less-p
        702,848   0%                                  timer-relative-time
        493,632   0%                                - timer-set-time
        493,632   0%                                   timer--time-setter
        153,328   0%                                  timer-create
        107,744   0%                                make-closure
      8,042,799   0%                             - seed7--block-name
      7,957,775   0%                              - seed7-re-search-forward
         91,168   0%                               - seed7-inside-string-p
         16,576   0%                                - syntax-ppss
         16,576   0%                                   make-closure
         12,432   0%                               - seed7-inside-comment-p
          4,144   0%                                - syntax-ppss
          4,144   0%                                   make-closure
          4,192   0%                                match-string
     13,645,976   0%                            - seed7-re-search-backward-closest
     13,368,328   0%                             - seed7-re-search-backward
      7,965,696   0%                                re-search-backward
      5,220,296   0%                              - run-with-timer
      5,220,296   0%                               - run-at-time
      2,587,704   0%                                - timer-activate
      2,587,704   0%                                 - timer--activate
      2,587,704   0%                                  - timer--time-less-p
         32,792   0%                                     timer--time
      1,415,408   0%                                  timer-relative-time
        943,680   0%                                - timer-set-time
        943,680   0%                                   timer--time-setter
        273,504   0%                                  timer-create
        182,336   0%                                make-closure
        145,040   0%                             - seq-filter
        145,040   0%                                make-closure
     11,868,504   0%                            - seed7-re-search-backward
      5,270,128   0%                             - run-with-timer
      5,270,128   0%                              - run-at-time
      2,617,408   0%                               - timer-activate
      2,617,408   0%                                - timer--activate
      2,617,408   0%                                   timer--time-less-p
      1,437,904   0%                                 timer-relative-time
        982,752   0%                               - timer-set-time
        982,752   0%                                  timer--time-setter
        232,064   0%                                 timer-create
      4,998,792   0%                               re-search-backward
      1,073,296   0%                             - seed7-inside-string-p
        223,776   0%                              - syntax-ppss
        223,776   0%                                 make-closure
        352,240   0%                             - seed7-inside-comment-p
        174,048   0%                              - syntax-ppss
        174,048   0%                                 make-closure
        174,048   0%                               make-closure
        290,768   0%                              match-string
        203,704   0%                              match-string-no-properties
     18,422,351   0%                           - seed7-line-starts-with-any
     18,422,351   0%                              seed7-line-starts-with
      8,505,616   0%                           - seed7--current-line-nth-word
      7,925,456   0%                            - thing-at-point
      7,398,224   0%                             - bounds-of-thing-at-point
      2,635,584   0%                                make-closure
      1,269,288   0%                              - #<byte-code-function A74>
      1,269,288   0%                               - forward-thing
      1,269,288   0%                                  format
      1,237,512   0%                                re-search-forward
        882,672   0%                              - seq-some
        882,672   0%                                 make-closure
        502,928   0%                              - #<byte-code-function 621>
        502,928   0%                               - forward-thing
        502,928   0%                                  format
      7,101,424   0%                           - seed7-move-to-line
      7,101,424   0%                            - seed7-to-previous-non-empty-line
        555,296   0%                             - seed7-inside-comment-p
        360,528   0%                              - syntax-ppss
        360,528   0%                                 make-closure
        328,322   0%                           - seed7--safe-current-line-defun-start-indent
        324,178   0%                            - seed7-to-block-backward
        237,266   0%                             - seed7-re-search-backward
         97,304   0%                              - run-with-timer
         97,304   0%                               - run-at-time
         46,216   0%                                - timer-activate
         46,216   0%                                 - timer--activate
         46,216   0%                                    timer--time-less-p
         31,312   0%                                  timer-relative-time
         19,776   0%                                - timer-set-time
         19,776   0%                                   timer--time-setter
         86,090   0%                                re-search-backward
         45,584   0%                              - seed7-inside-string-p
          4,144   0%                               - syntax-ppss
          4,144   0%                                  make-closure
          8,288   0%                                seed7-inside-comment-p
         70,336   0%                             - seed7--current-line-nth-word
         66,192   0%                              - thing-at-point
         55,912   0%                               - bounds-of-thing-at-point
         29,008   0%                                  make-closure
         13,424   0%                                - #<byte-code-function F88>
         13,424   0%                                 - forward-thing
         13,424   0%                                    format
          4,144   0%                                - seq-some
          4,144   0%                                   make-closure
          1,048   0%                                - #<byte-code-function 930>
          1,048   0%                                 - forward-thing
          1,048   0%                                    format
         12,432   0%                               seed7-inside-line-indent-before-comment-p
          4,144   0%                               seed7-inside-comment-p
  1,203,046,712  19%                          - seed7-line-inside-parens-pair-column
  1,203,046,712  19%                           - seed7-line-inside-parens-pair
  1,197,345,990  19%                            - seed7-re-search-backward
    942,232,506  15%                             - run-with-timer
    942,232,506  15%                              - run-at-time
    465,418,549   7%                               - timer-activate
    465,418,549   7%                                - timer--activate
    465,418,549   7%                                 - timer--time-less-p
        571,080   0%                                    timer--time
    251,602,076   4%                                 timer-relative-time
    170,938,715   2%                               - timer-set-time
    170,934,880   2%                                  timer--time-setter
     54,265,680   0%                                 timer-create
          7,486   0%                                 timer-set-function
    143,310,305   2%                             - seed7-inside-string-p
     40,378,209   0%                              - syntax-ppss
     39,985,456   0%                                 make-closure
        360,712   0%                                 parse-partial-sexp
         15,846   0%                                 #<byte-code-function 0FB>
          3,476   0%                                 syntax-table
     69,926,621   1%                             - seed7-inside-comment-p
     42,936,749   0%                              - syntax-ppss
     42,703,920   0%                                 make-closure
        196,752   0%                                 parse-partial-sexp
         22,380   0%                                 #<byte-code-function CC5>
         11,633   0%                                 syntax-table
     35,592,484   0%                               make-closure
      6,284,074   0%                               re-search-backward
      4,555,810   0%                            - forward-sexp
      4,552,272   0%                               seed7--forward-sexp-function
        596,640   0%                            - seed7-line-inside-syntax-parens-pair
        248,640   0%                             - syntax-ppss
        248,640   0%                                make-closure
          8,192   0%                             - forward-sexp
          8,192   0%                                seed7--forward-sexp-function
    981,796,087  15%                          - seed7-line-inside-a-block-cached
    981,447,991  15%                           - seed7-line-inside-a-block
    767,663,432  12%                            - seed7--safe-enclosing-block-bounds
    505,206,198   8%                             - seed7--block-end-pos-for
    504,921,342   8%                              - seed7-to-block-forward
    292,765,814   4%                               - seed7-end-of-defun
    289,935,775   4%                                - seed7-top-block-name
    289,135,404   4%                                 - seed7--to-top
    287,852,308   4%                                  - seed7-re-search-backward
    219,588,237   3%                                   - run-with-timer
    219,588,237   3%                                    - run-at-time
    105,592,920   1%                                     - timer-activate
    105,592,920   1%                                      - timer--activate
    105,527,336   1%                                       - timer--time-less-p
        787,064   0%                                          timer--time
     59,341,965   0%                                       timer-relative-time
     41,454,072   0%                                     - timer-set-time
     41,454,072   0%                                        timer--time-setter
     13,198,640   0%                                       timer-create
            640   0%                                       timer-set-function
     45,637,991   0%                                   - seed7-inside-string-p
      6,214,135   0%                                    - syntax-ppss
      5,867,904   0%                                       make-closure
        344,496   0%                                     - parse-partial-sexp
         16,576   0%                                      - internal--syntax-propertize
         12,432   0%                                         syntax-propertize
            379   0%                                       syntax-table
     14,312,525   0%                                   - seed7-inside-comment-p
      6,074,253   0%                                    - syntax-ppss
      5,610,976   0%                                       make-closure
        262,336   0%                                       parse-partial-sexp
        102,532   0%                                     - syntax-propertize
         90,100   0%                                        seed7-mode-syntax-propertize
             33   0%                                       #<byte-code-function 1FC>
      8,171,968   0%                                     make-closure
        106,168   0%                                     re-search-backward
      1,122,920   0%                                  - run-with-timer
      1,122,920   0%                                   - run-at-time
        512,000   0%                                    - timer-activate
        512,000   0%                                     - timer--activate
        512,000   0%                                        timer--time-less-p
        285,760   0%                                      timer-relative-time
        233,992   0%                                    - timer-set-time
        233,992   0%                                       timer--time-setter
         91,168   0%                                      timer-create
         29,008   0%                                    make-closure
        746,499   0%                                 - seed7--block-name
        615,859   0%                                  - seed7-re-search-forward
        252,784   0%                                   - seed7-inside-string-p
         33,152   0%                                    - syntax-ppss
         33,152   0%                                       make-closure
        116,032   0%                                   - seed7-inside-comment-p
